iter	RMSE
0	0.3767263631
1	0.3391348776
2	0.3130031984
3	0.2952426177
4	0.283625294
5	0.2751983444
6	0.2681902205
7	0.2603949563
8	0.2557831015
9	0.2522936049
10	0.2497155358
11	0.246301054
12	0.2427734634
13	0.2410024616
14	0.2385012206
15	0.2369590937
16	0.2346302956
17	0.2334144265
18	0.2319879266
19	0.2310090712
20	0.2297927652
21	0.2285921779
22	0.2276916061
23	0.2258676945
24	0.2246503208
25	0.223769413
26	0.222196471
27	0.2215289129
28	0.2203420426
29	0.2195603934
30	0.2185978903
31	0.2179959515
32	0.2171484402
33	0.2164473699
34	0.2159987029
35	0.2139868335
36	0.213394562
37	0.2120642984
38	0.2116443967
39	0.2109250612
40	0.2098026194
41	0.2087043314
42	0.2080889502
43	0.2077753536
44	0.2072612764
45	0.2069010284
46	0.2061091794
47	0.2057994784
48	0.2055113556
49	0.2049315046
50	0.2041618898
51	0.2037003734
52	0.2034212809
53	0.2031035675
54	0.2027585712
55	0.2020492572
56	0.2017263492
57	0.2014144822
58	0.2009622456
59	0.2004114295
60	0.20018085
61	0.1997284843
62	0.1995034237
63	0.1990095904
64	0.1987359735
65	0.1985391355
66	0.1981920213
67	0.1973436385
68	0.1970856773
69	0.1966744621
70	0.1964401189
71	0.1959972794
72	0.1958642956
73	0.1956059373
74	0.1954794876
75	0.195478805
76	0.1953197642
77	0.1951614767
78	0.1949754318
79	0.1949743506
80	0.1949742014
81	0.1949740148
82	0.194572813
83	0.1943252983
84	0.1940633773
85	0.194063246
86	0.1940628408
87	0.1936528012
88	0.1936524669
89	0.1934461978
90	0.1934460328
91	0.1933072182
92	0.1931493003
93	0.1931491068
94	0.1930365791
95	0.192616272
96	0.1926154145
97	0.1920241925
98	0.1920238833
99	0.1914091798
100	0.1914088527
101	0.1912022003
102	0.1910669415
103	0.1909507283
104	0.1905307562
105	0.1903949944
106	0.1903947722
107	0.1902259767
108	0.190225471
109	0.1900044706
110	0.1899210599
111	0.18992093
112	0.189828673
113	0.189677929
114	0.1895749529
115	0.1890603015
116	0.188771295
117	0.1885419643
118	0.1884616802
119	0.1883894678
120	0.1882930011
121	0.1882355545
122	0.1882351252
123	0.1881591597
124	0.1878781102
125	0.1876712912
126	0.1875028954
127	0.1873472637
128	0.1872219964
129	0.1870630322
130	0.1870629194
131	0.1869957153
132	0.1869955258
133	0.1869953822
134	0.186852192
135	0.1868520764
136	0.1866966404
137	0.1865908715
138	0.186539616
139	0.1864526082
140	0.1861501334
141	0.1858585424
142	0.1858295838
143	0.1858045563
144	0.1856798612
145	0.1856795585
146	0.1856292656
147	0.1853940918
148	0.1851659056
149	0.1847967
150	0.1847194996
151	0.1846295864
152	0.1840169873
153	0.1839448344
154	0.1838995545
155	0.1837845758
156	0.1837315109
157	0.1836444819
158	0.1835428148
159	0.1831235975
160	0.1829262157
161	0.1827533663
162	0.1826180876
163	0.1825257778
164	0.1824137589
165	0.1824069008
166	0.182260799
167	0.182224458
168	0.182095045
169	0.1819948065
170	0.181932016
171	0.1818238854
172	0.1817492265
173	0.1815630229
174	0.1815501504
175	0.1815489028
176	0.1815483545
177	0.1813848557
178	0.1813052188
179	0.1811934856
180	0.1810379522
181	0.1809708195
182	0.1809706525
183	0.1809336529
184	0.1808393701
185	0.1808000538
186	0.1807370382
187	0.1807046903
188	0.1806750367
189	0.1805827726
190	0.1805075739
191	0.1804619296
192	0.1804617217
193	0.180461179
194	0.180379703
195	0.1802010804
196	0.1800644748
197	0.1800379555
198	0.1800007953
199	0.179906805
200	0.1798166801
201	0.1796252844
202	0.1793757474
203	0.1793376133
204	0.1791964673
205	0.1791964308
206	0.179136648
207	0.1790965931
208	0.1789882371
209	0.1788705817
210	0.1787436322
211	0.1787186581
212	0.1787129667
213	0.1785994921
214	0.1785993768
215	0.1785515737
216	0.1785306762
217	0.1784929284
218	0.1783545531
219	0.1782527512
220	0.1781920198
221	0.1781138793
222	0.1780708952
223	0.1779030196
224	0.1778472057
225	0.1778471336
226	0.1777740526
227	0.1776366703
228	0.1776000722
229	0.1772859388
230	0.1772858965
231	0.177187079
232	0.1771869698
233	0.1771295023
234	0.1770720881
235	0.1770171021
236	0.1770129525
237	0.1766756706
238	0.1765658161
239	0.176535472
240	0.1765352345
241	0.176513002
242	0.1764637446
243	0.1764637005
244	0.1764505941
245	0.1763821516
246	0.1762032689
247	0.1761158593
248	0.1760032499
249	0.175805926
250	0.1757812229
251	0.1756616644
252	0.1756605455
253	0.1756595977
254	0.1756399064
255	0.1756396799
256	0.1756115656
257	0.1752575778
258	0.1751946065
259	0.1751945326
260	0.1751944813
261	0.1751439556
262	0.1750822199
263	0.1750819507
264	0.1750578046
265	0.1748984906
266	0.1748101661
267	0.1748017511
268	0.1747714689
269	0.1747455682
270	0.1747455416
271	0.1747420708
272	0.1747420266
273	0.1746149672
274	0.1745509194
275	0.1744914166
276	0.17442559
277	0.1744213679
278	0.174418498
279	0.1743676478
280	0.17432336
281	0.1743232938
282	0.1742877354
283	0.1742876584
284	0.1742575512
285	0.1742523356
286	0.1742318701
287	0.1740938812
288	0.1740091999
289	0.173951821
290	0.1739057778
291	0.1737664142
292	0.1737630442
293	0.1737380328
294	0.1737378124
295	0.1736965344
296	0.1736961493
297	0.1736541343
298	0.1736069276
299	0.1735233399
300	0.1734804991
301	0.1734423618
302	0.1734140876
303	0.1733983739
304	0.1733983146
305	0.1733789627
306	0.1733646035
307	0.1733645275
308	0.1733431164
309	0.1733276359
310	0.173326226
311	0.1733261109
312	0.173302401
313	0.1732503639
314	0.1732370026
315	0.1732021537
316	0.173181437
317	0.1731098764
318	0.1730577942
319	0.1730211309
320	0.1730100992
321	0.1729964558
322	0.1729964371
323	0.1729959642
324	0.1729956622
325	0.1729488089
326	0.1729428061
327	0.1729123112
328	0.1728892234
329	0.172888528
330	0.1728355184
331	0.1728009586
332	0.1728008412
333	0.1727964382
334	0.1726972007
335	0.1726390346
336	0.1726390222
337	0.1726297343
338	0.1726111633
339	0.1725451474
340	0.1725450947
341	0.1725232346
342	0.1724785729
343	0.1724759241
344	0.1723828922
345	0.1723826643
346	0.1723749456
347	0.1723748049
348	0.1723747481
349	0.1723320805
350	0.172238529
351	0.1721764334
352	0.1721048781
353	0.1721048139
354	0.1720897447
355	0.1720474383
356	0.1720460644
357	0.1719560748
358	0.1719260128
359	0.171925946
360	0.1719020922
361	0.171878113
362	0.1718769599
363	0.1718768064
364	0.171828956
365	0.1718289144
366	0.1717382989
367	0.1716726677
368	0.1715447947
369	0.1714922341
370	0.1714413302
371	0.1713990107
372	0.1713195549
373	0.1712431133
374	0.1711658
375	0.1711544366
376	0.1710381117
377	0.1709663887
378	0.1709210954
379	0.1708693129
380	0.170857932
381	0.1708575668
382	0.170833958
383	0.1708190507
384	0.1707481356
385	0.1707444266
386	0.1706741448
387	0.1706495606
388	0.1706214393
389	0.1705780858
390	0.1705136672
391	0.1704930059
392	0.1704927197
393	0.1704917192
394	0.1704140002
395	0.1703166794
396	0.1702736005
397	0.170245442
398	0.1701761561
399	0.1700394303
400	0.1700156611
401	0.1700118098
402	0.1699781257
403	0.1699780303
404	0.1699273926
405	0.1699110232
406	0.1699109129
407	0.1698437489
408	0.1698436678
409	0.1698098972
410	0.1698095206
411	0.169793139
412	0.1697213717
413	0.1697200859
414	0.1697200359
415	0.169651436
416	0.1696117861
417	0.1695755819
418	0.1695535528
419	0.1695209156
420	0.1694564955
421	0.1694523597
422	0.1693871676
423	0.1693469673
424	0.1692919782
425	0.1692919123
426	0.1692822918
427	0.1692501025
428	0.169249754
429	0.1692496798
430	0.1692218197
431	0.1691930099
432	0.1691662925
433	0.1691531014
434	0.1691053577
435	0.1690660273
436	0.1690514553
437	0.169008049
438	0.1690005612
439	0.1690003708
440	0.1683177924
441	0.1682554471
442	0.168230709
443	0.1681761767
444	0.1681748236
445	0.1681690635
446	0.1681690158
447	0.1681508399
448	0.1681365819
449	0.1681015144
450	0.1680861301
451	0.1680178449
452	0.1679985545
453	0.1679981604
454	0.1679163531
455	0.1678660864
456	0.1678539575
457	0.1677806542
458	0.1677612922
459	0.1677612533
460	0.1677094139
461	0.1676977175
462	0.1676877362
463	0.1676876897
464	0.1676875891
465	0.1676760968
466	0.1675883359
467	0.1675223493
468	0.1675028634
469	0.1674792469
470	0.1674702471
471	0.1674376246
472	0.1674352772
473	0.1674173497
474	0.1674152433
475	0.1673963829
476	0.1673937196
477	0.1673539486
478	0.1673520464
479	0.1673003989
480	0.1672779272
481	0.1672661464
482	0.1671419709
483	0.16708461
484	0.1669896214
485	0.1669700878
486	0.166949093
487	0.1669047523
488	0.1668751036
489	0.1668569209
490	0.1668258226
491	0.166818586
492	0.1668183306
493	0.1667350215
494	0.1667304643
495	0.1667206699
496	0.1666966003
497	0.1666835604
498	0.1666431952
499	0.1666141186
500	0.1665665034
501	0.1665532703
502	0.1664667367
503	0.1664562745
504	0.1663939372
505	0.1663260915
506	0.1662754842
507	0.1662558242
508	0.1662543304
509	0.166250409
510	0.1662037562
511	0.1661889292
512	0.1661654587
513	0.1661529628
514	0.1661062422
515	0.1661056582
516	0.1660399118
517	0.1660189684
518	0.1660118336
519	0.1659855046
520	0.1659283986
521	0.1659091464
522	0.1658668785
523	0.1657483102
524	0.1656277837
525	0.1656216728
526	0.165613234
527	0.1654571224
528	0.1654192141
529	0.1653988271
530	0.1653951656
531	0.1653334616
532	0.1653259933
533	0.1652796712
534	0.1652620211
535	0.1652203326
536	0.1652010473
537	0.1651861722
538	0.1651860864
539	0.1651551821
540	0.165084136
541	0.1650698351
542	0.1650575764
543	0.1650517025
544	0.1650495436
545	0.1650037466
546	0.1650018789
547	0.1649714401
548	0.1649421769
549	0.1649321179
550	0.1649320835
551	0.16482433
552	0.1647021934
553	0.1646901291
554	0.1646616372
555	0.1646573602
556	0.1646294975
557	0.1645549738
558	0.1645132647
559	0.1644967236
560	0.1644954966
561	0.1644382663
562	0.1644262028
563	0.164417626
564	0.1643990502
565	0.1643912843
566	0.1643766158
567	0.1643637176
568	0.1643580811
569	0.1643566141
570	0.164343104
571	0.1643427425
572	0.1640788873
573	0.1640642039
574	0.1640467973
575	0.1640434206
576	0.1640425643
577	0.1640421211
578	0.1640348206
579	0.1640347644
580	0.1640031632
581	0.1639750752
582	0.1639467121
583	0.1639389616
584	0.1638351316
585	0.1638203685
586	0.1637422841
587	0.1636841688
588	0.1636837261
589	0.1636717723
590	0.1636191473
591	0.1636183394
592	0.1635737227
593	0.1635736869
594	0.1635249132
595	0.16350397
596	0.1635005222
597	0.1634885386
598	0.1634693354
599	0.1634395616
600	0.1633956743
601	0.1633842047
602	0.1633710115
603	0.1633520007
604	0.1633261377
605	0.1633159067
606	0.1633022747
607	0.1632415357
608	0.1632288843
609	0.1631748979
610	0.1631353607
611	0.1631079663
612	0.1630911258
613	0.1630597672
614	0.1630288565
615	0.1630273776
616	0.1630268501
617	0.1630132664
618	0.1629988357
619	0.1629759108
620	0.1629577629
621	0.1629387189
622	0.1629266746
623	0.1629254796
624	0.1629100109
625	0.1629016383
626	0.1628738336
627	0.1628623261
628	0.1628444362
629	0.1628300085
630	0.1628256164
631	0.162822473
632	0.1628223758
633	0.162822301
634	0.1628104591
635	0.1627610942
636	0.1627516889
637	0.1627498997
638	0.1627436116
639	0.1627025556
640	0.1626883657
641	0.1626881354
642	0.1626880915
643	0.1626877085
644	0.1626874785
645	0.1626719968
646	0.1626339881
647	0.1626313246
648	0.1626311822
649	0.1626083679
650	0.1625945184
651	0.162580301
652	0.162580226
653	0.1625205882
654	0.1625184276
655	0.1624884719
656	0.1624871736
657	0.1624870686
658	0.1624575193
659	0.1623998051
660	0.1623980888
661	0.1623881486
662	0.1623869264
663	0.1623663843
664	0.1623412997
665	0.1623068818
666	0.1623022773
667	0.1622874133
668	0.1622393007
669	0.1622051959
670	0.1621980759
671	0.1621950069
672	0.1621631457
673	0.1621613924
674	0.1621418125
675	0.1621267537
676	0.1621084007
677	0.1620725621
678	0.1620382549
679	0.162033483
680	0.1620120208
681	0.161997477
682	0.1619961464
683	0.1619703825
684	0.1619040831
